file,count,avg_viability,avg_circularity,avg_intensity,radius (area / pi),pct_analyzed,background_intenstiy,avg_area
20230405_d0-control_f5.png,5,83.05,0.592,153.8,,0.1313443072702332,175.5979274103127,306.4
20230405_d0-control_f6.png,3,61.58,0.58,142.83,,0.07904663923182442,180.8839039629717,307.33
20230405_d0-control_g2.png,3,-1.0,-1.0,-1.0,,0.0,185.05750696659896,-1.0
20230405_d0-control_g3.png,4,61.44,0.6825,145.32,,0.09525034293552812,183.45490576220382,277.75
20230405_d0-control_g4.png,1,20.07,0.73,120.12,,0.021776406035665295,183.077237915343,254.0
20230405_d0-control_g5.png,8,55.98,0.52375,134.28,,0.21373456790123457,175.26923958033694,311.62
20230405_d0-control_g6.png,1,52.13,0.59,137.58,,0.043638545953360766,181.29948820185504,509.0
20230406_d1-10um_GEM_b9.png,31,67.56,0.43903,145.59,,1.9120370370370372,180.0559379074865,719.42
20230406_d1-10um_GEM_c9.png,22,68.39,0.45273,143.89,,1.7755486968449932,177.8499306424164,941.36
20230406_d1-10um_GEM_d9.png,24,62.97,0.47125,141.63,,2.0840192043895747,178.84950334130195,1012.83
20230406_d1-10um_GEM_e9.png,18,59.95,0.45,140.48,,1.5409807956104253,179.5104933706803,998.56
20230406_d1-10um_GEM_f9.png,25,75.45,0.464,149.66,,2.010202331961591,179.2671824610066,937.88
20230406_d1-10um_GEM_g9.png,25,63.64,0.4976,147.64,,0.977366255144033,184.45181676894737,456.0
20230406_d1-15um_GEM_b8.png,23,75.03,0.4787,150.04,,0.9616769547325102,180.02237929626938,487.7
20230406_d1-15um_GEM_c8.png,18,79.92,0.45778,149.1,,1.335562414266118,176.00759070395384,865.44
20230406_d1-15um_GEM_d8.png,29,76.07,0.42552,147.51,,1.6878429355281208,176.4503828402279,678.86
20230406_d1-15um_GEM_e8.png,23,73.42,0.45348,142.67,,1.7003600823045268,173.6105586392998,862.3
20230406_d1-15um_GEM_f8.png,33,71.7,0.46485,145.75,,1.7117626886145403,177.63592618020652,605.03
20230406_d1-15um_GEM_g8.png,27,73.89,0.4763,147.23,,1.83650548696845,177.64193346844056,793.37
20230406_d1-1um_GEM_b11.png,18,68.85,0.45444,150.14,,1.4664780521262002,183.8118036741171,950.28
20230406_d1-1um_GEM_c11.png,22,72.09,0.41591,154.44,,1.0703875171467763,186.1929468501785,567.5
20230406_d1-1um_GEM_d11.png,20,64.45,0.4845,149.46,,1.5780178326474623,185.7928814383955,920.3
20230406_d1-1um_GEM_e11.png,34,66.21,0.42941,149.65,,2.014831961591221,184.9251345672134,691.21
20230406_d1-1um_GEM_f11.png,20,72.42,0.5305,153.11,,1.1646090534979423,184.6162492769433,679.2
20230406_d1-1um_GEM_g11.png,23,69.11,0.48957,154.14,,1.4912551440329218,187.67284240456542,756.26
20230406_d1-20um_GEM_b7.png,14,65.87,0.485,149.74,,0.8016117969821674,184.97392662185428,667.86
20230406_d1-20um_GEM_c7.png,23,81.2,0.48696,151.44,,1.396176268861454,176.5098626592703,708.04
20230406_d1-20um_GEM_d7.png,29,71.54,0.50103,146.06,,1.8925754458161865,177.8721002898835,761.21
